Year,Site,Plot,Canola Genotype,Week,DAS,Phenotypic Stage,Block,Nitrate_N ,Ammonium_N,Root_Length,Root_Surface_Area,Average_Root_Diameter,Aboveground_biomass,Gravimetric_Moisture,pH,Seed_Yield,Thousand_Seed_Weight,Seed_N,NUE_crop,NHI,PFP,N_uptake,NUtE
2016,L,1101,NAM-94,3,32,6-9 Leaf Stage,1,12.65523065,5.564862178,92.77,38.36,1.32,1052,24.93702771,6.95,2680.833333,3.69,112.14462,3.676872787,0.070046126,87.89617486,46.10911743,1.674462759
2016,L,1102,NAM-37,3,32,6-9 Leaf Stage,1,9.060760734,5.428250433,194.24,52.61,0.86,732,26.39593909,7.11,2510.138889,4.35,114.8639556,3.76603133,0.110661415,82.2996357,29.89372508,2.418300155
2016,L,1108,NAM-0,3,32,6-9 Leaf Stage,1,9.565837336,4.068676527,165.38,49.16,0.95,1272,26.97201018,7.18,2153.472222,3.61,98.07343194,3.215522359,0.054333462,70.60564663,51.98481225,1.193040762
2016,L,1109,NAM-43,3,32,6-9 Leaf Stage,1,17.95369011,5.727240627,74.83,24.37,1.04,1452,25.6281407,7.3,1921.111111,5.4,97.81529333,3.207058798,0.064968555,62.98724954,43.36067558,1.275994879
2016,L,1115,NAM-13,3,32,6-9 Leaf Stage,1,5.837540104,3.595446017,86.37,24.23,0.89,831.9999999,26.59846547,6.84,2960.555556,3.85,112.4182156,3.685843133,0.072286514,97.06739526,44.78905411,1.903679408
2016,L,1116,NAM-46,3,32,6-9 Leaf Stage,1,8.916515905,4.401873068,63.23,26.89,1.35,904.0000001,24.6882793,6.86,1827.222222,3.39,85.19058167,2.793133825,0.079745404,59.90892532,30.76652214,1.71043057
2016,L,1122,NAM-14,3,32,6-9 Leaf Stage,1,17.15769867,4.082161913,152.06,38.28,0.8,716,29.01554404,6.97,2805.972222,3.61,130.413171,4.275841671,0.102093324,91.99908925,36.78888274,2.196641865
2016,L,1123,NAM-48,3,32,6-9 Leaf Stage,1,22.65874215,3.944921772,150.82,45.87,0.97,1192,27.10997442,6.74,2004.861111,4.38,77.39966806,2.537694035,0.053955714,65.73315118,41.31370467,1.397599186
2016,L,1129,NAM-17,3,32,6-9 Leaf Stage,1,17.43612139,3.44387187,122.57,33.72,0.88,912,28.02056555,6.59,2060.694444,3.63,93.48546417,3.065097186,0.040476284,67.56375228,66.51750307,0.892216293
2016,L,1130,NAM-5,3,32,6-9 Leaf Stage,1,23.26323653,5.700892012,99.57,32.78,1.05,532,26.51515152,7.03,2166.527778,4.2,92.57139889,3.035127832,0.062679388,71.03369763,42.53481669,1.466939436
2016,L,1136,NAM-23,3,32,6-9 Leaf Stage,1,11.43876612,3.539365197,134.17,45.27,1.07,947.9999999,25.81453634,7.36,3298.75,3.73,130.4655625,4.277559426,0.059165697,108.1557377,63.50653124,1.495972117
2016,L,1137,NAM-72,3,32,6-9 Leaf Stage,1,15.06006465,5.509642378,142.63,31.7,0.71,832.0000001,27.2264631,6.89,2028.333333,3.97,88.34608667,2.896593005,0.068825983,66.50273224,36.96812167,1.58017225
2016,L,1143,NAM-30,3,32,6-9 Leaf Stage,1,11.46727203,4.797683021,165.91,31.42,0.6,1188,27.62148338,7.12,1808.888889,3.29,74.44482222,2.440813843,0.053300862,59.30783242,40.22469441,1.295124817
2016,L,1144,NAM-76,3,32,6-9 Leaf Stage,1,8.877308685,5.0544415,35.8,15.93,1.42,612,26.44836272,7.13,3314.583333,3.93,141.9370875,4.653675,0.073251088,108.6748634,55.80515255,1.710594733
2016,L,1151,NAM-79,3,32,6-9 Leaf Stage,1,16.97035258,6.246973668,134.76,40.93,0.97,1472,20.77294686,7.41,1518.194444,4.3,77.51445375,2.5414575,0.039810166,49.77686703,56.07653804,0.779720031
2016,L,1203,NAM-13,3,32,6-9 Leaf Stage,2,18.7610294,3.326685061,39.03,15.48,1.26,988.0000001,26.97201018,7.15,2946.388889,4.22,117.0246739,3.836874554,0.0474559,96.60291439,71.01984312,1.194821
2016,L,1207,NAM-43,3,32,6-9 Leaf Stage,2,13.06870842,3.133712429,141.83,30.99,0.7,944,27.94871795,7.08,1569.305556,4.91,82.02760139,2.689429554,0.052394349,51.45264117,45.08873502,1.002378975
2016,L,1208,NAM-37,3,32,6-9 Leaf Stage,2,12.16336244,3.559747738,174.03,53.46,0.98,736.0000001,24.93765586,7.26,2320.555556,4.16,106.200225,3.48197459,0.057951669,76.08378871,52.77788408,1.266287976
2016,L,1211,NAM-30,3,32,6-9 Leaf Stage,2,25.09008759,2.556680702,99.05,22.96,0.74,796.0000001,25.06265664,7.08,1740.972222,3.24,70.39795278,2.308129599,0.079448212,57.08105647,25.51927838,1.9647891
2016,L,1215,NAM-72,3,32,6-9 Leaf Stage,2,26.07250595,2.517652246,129.5,43.25,1.06,1028,25.56390977,7.09,2309.583333,4.42,106.4025042,3.488606694,0.045707392,75.72404372,67.04368742,0.992129201
2016,L,1218,NAM-17,3,32,6-9 Leaf Stage,2,13.63160899,2.275430125,166.64,40.39,0.77,1080,28.53470437,6.63,2185.277778,3.82,91.37301972,2.995836712,0.066328193,71.64845173,39.67457639,1.586305532
2016,L,1225,NAM-0,3,32,6-9 Leaf Stage,2,15.53733021,3.064921497,77.21,27.5,1.13,1220,24.6882793,7.02,2500,4.04,120.4425,3.948934426,0.037329279,81.96721311,92.922876,0.774836112
2016,L,1229,NAM-76,3,32,6-9 Leaf Stage,2,19.17349123,3.653132844,143.81,37.76,0.84,584,30.80939948,7.23,2352.083333,3.97,95.14177083,3.119402322,0.110250567,77.11748634,24.85323264,2.725601171
2016,L,1230,NAM-94,3,32,6-9 Leaf Stage,2,17.08029576,3.056735502,135,37.25,0.88,991.9999999,27.94871795,7.1,2797.5,3.99,120.0938775,3.93750418,0.093684982,91.72131148,36.91844321,2.182323874
2016,L,1236,NAM-79,3,32,6-9 Leaf Stage,2,24.54660909,3.279446229,117.39,27.56,0.75,840,23.7037037,6.84,1299.722222,4.42,63.40564889,2.078873734,0.034806728,42.61384335,52.46349694,0.713486561
2016,L,1237,NAM-14,3,32,6-9 Leaf Stage,2,20.50823609,3.280462516,91.9,22.73,0.79,736.0000001,24.63054187,7.38,2516.527778,3.71,106.0741624,3.477841389,0.142010262,82.50910747,21.5120783,3.369084055
